c_sh,cutoff_id,cutoff_index,training_end_date,training_weeks,training_windows,global_fit_training_windows,global_parameters_refitted_each_cutoff,training_objective,outbreak_threshold,observed_six_week_event,predicted_six_week_event_probability,event_brier_score,persistence_event_probability,persistence_event_brier_score,history_conditioning_enabled,history_weeks,recent_transmission_multiplier,history_conditioning_objective,history_conditioning_optimizer_success,anchor_exposed_per_case,anchor_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,gamma,local_mixing,contact_scale,sick_contact_multiplier,sick_mobility_multiplier,seed_infections_per_week,initial_exposed_per_case,initial_infectious_per_case
0.05,4,96,2025-10-27,96,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.05,5,108,2026-01-19,108,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,0,60,2025-02-17,60,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,1,66,2025-03-31,66,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,2,84,2025-08-04,84,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,3,90,2025-09-15,90,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,4,96,2025-10-27,96,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.1,5,108,2026-01-19,108,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,0,60,2025-02-17,60,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,1,66,2025-03-31,66,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,2,84,2025-08-04,84,78,0,False,,10.0,False,1.0,1.0,1.0,1.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,3,90,2025-09-15,90,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,4,96,2025-10-27,96,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.2,5,108,2026-01-19,108,102,0,False,,10.0,True,0.94,0.0036000000000000064,1.0,0.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,0,60,2025-02-17,60,54,0,False,,10.0,False,0.03,0.0009,0.0,0.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,1,66,2025-03-31,66,60,0,False,,10.0,True,0.58,0.17640000000000003,0.0,1.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,2,84,2025-08-04,84,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,3,90,2025-09-15,90,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,4,96,2025-10-27,96,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
0.5,5,108,2026-01-19,108,102,0,False,,10.0,True,0.93,0.004899999999999993,1.0,0.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,0,60,2025-02-17,60,54,0,False,,10.0,False,0.03,0.0009,0.0,0.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,1,66,2025-03-31,66,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,2,84,2025-08-04,84,78,0,False,,10.0,False,0.98,0.9603999999999999,1.0,1.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,3,90,2025-09-15,90,84,0,False,,10.0,False,0.12,0.0144,0.0,0.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,4,96,2025-10-27,96,90,0,False,,10.0,True,0.0,1.0,0.0,1.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
1.0,5,108,2026-01-19,108,102,0,False,,10.0,True,0.94,0.0036000000000000064,1.0,0.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,0.05555555555555555,0.5051149989678707,0.18332535499407265,0.5342338952936514,0.8094653557633753,5.135063518358488,4.043389093098065,0.1579045830557226
